id	name 	symbol 	red	green	blue	x	y	health	max_health	stamina	max_stamina	mana	max_mana	stealth	experience	weight	inventory	chance
0	Rabbit	O	255	255	255	none	none	3	3	10	10	0	0	3	2	1	"34 ,32"	0.25
1	Troll	X	255	20	20	none	none	10	10	5	5	0	0	1	5	10	0	0.25
2	Slime	X	0	200	0	none	none	3	3	3	3	0	0	0	3	0	none	0.25
3	Rat	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
4	Spider	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
5	Bat	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
6	Zombie	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
7	Vampire	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
8	Goblin	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
9	Hob Goblin	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
10	Gnoll	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
11	Kobold	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
12	Chicken	O	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
13	Cow	O	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
14	Deer	O	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
15	Squirrel	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
16	Snake	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
17	Crab	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
18	Skunk	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
19	Horse	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
20	Pig	O	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
21	Roach	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
22	Scorpion	X	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
23	Chipmonk	O	255	255	255	none	none	0	3	3	3	0	0	0	3	0	none	0.25
