id	name			symbol	red	green	blue	stamina_cost
0	grass			#	121	168	74	1
1	tall_grass		#	60	100	50	1.3
2	dirt			.	153	76	0	1
3	mud			.	102	51	0	1.5
4	shallow_water		~	51	153	255	1.3
5	river_water		~	0	102	204	5
6	deep_water		~	0	0	153	10
7	lava			~	204	0	0	10
8	deciduous_tree		^	0	255	0	1.3
9	coniferous_tree		^	0	204	0	1.5
10	path			.	204	102	0	0.5
11	rock_wall_v		|	128	128	128	999
12	rock_wall_h		-	128	128	128	999
13	wood_wall_v		|	153	76	0	999
14	wood_wall_h		-	153	76	0	999
15	hollow_wood_wall_v	|	153	76	0	5
16	hollow_wood_wall_h	-	153	76	0	5
17	hole			O	100	100	100	2
18	sand			.	226	212	13	0.8
19	wood_floor		=	153	76	0	1.5
20	wood_floor_2		=	102	51	0	1.5
21	wood_door		:	153	76	0	1
22	metal_door		:	128	128	128	1
23	portal			@	153	0	76	1
24	trap			T	153	0	0	999
25	left_stone_ledge	\	100	100	100	999
26	right_stone_ledge	/	100	100	100	999
27	bottom_stone_ledge	_	100	100	100	999
28	top_stone_ledge		-	100	100	100	999
29	chest			!	155	80	0	999
30	snow			*	255	255	255	1.5
31	deep_snow		*	51	153	255	5
32	fog			#	100	100	100	1.1
33	jungle			%	0	70	0	3
-1	NA			 	0	0	0	1
